

module Memory
2018-03-10T14:25:41.008923+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:25:41.533703+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:25:42.020516+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:25:42.429546+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:25:42.886645+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:25:43.255445+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:25:43.618766+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:25:43.996774+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:25:44.370112+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:25:44.931659+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:25:45.483418+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:25:46.033209+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:25:46.583288+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:25:47.145129+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:25:47.723072+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:25:48.257205+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:25:48.708472+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:25:49.135214+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:27:10.648101+09:00 module Register
2018-03-10T14:27:16.17876+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:27:16.660282+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:27:17.028667+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:27:17.391029+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:27:17.780559+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:27:18.149823+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:27:18.512076+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:27:18.912658+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:27:19.281324+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:27:19.716632+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:27:20.114748+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:27:20.889348+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4091: Can't get int value of seq in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.3W3L1IN3..vdm) at line 159:22
2018-03-10T14:27:21.262866+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:27:21.632142+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:27:22.219234+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:27:22.587261+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:27:22.975626+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:27:23.36076+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:27:23.745717+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:27:24.114062+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:27:24.500573+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:27:24.905448+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:27:25.275002+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:27:25.657553+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:27:26.025455+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:27:26.556847+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:27:27.137779+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:27:27.693164+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:27:28.282015+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:27:29.01094+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:27:29.563564+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:27:30.113407+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:27:30.548598+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:27:31.026649+09:00 MemoryTest`test_read_write_slot() -> OK
[MANUALLY RUN ALL TESTS]
2018-03-10T14:27:39.167082+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:27:39.56272+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:27:39.966779+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:27:40.390325+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:27:40.809807+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:27:41.198536+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:27:41.59118+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:27:41.977698+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:27:42.375883+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:27:42.811761+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:27:43.230546+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:27:43.966554+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4091: Can't get int value of seq in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.NN8U55XM..vdm) at line 159:22
2018-03-10T14:27:44.372957+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:27:44.822708+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:27:45.213537+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:27:45.621963+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:27:46.030265+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:27:46.459688+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:27:46.896668+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:27:47.336168+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:27:47.790298+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:27:48.210553+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:27:48.619102+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:27:51.100046+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:27:51.508883+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:27:52.184305+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:27:52.918786+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:27:53.467798+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:27:54.028007+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:27:54.566868+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:27:55.128299+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:27:55.66356+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:27:56.094791+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:27:56.518725+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:30:50.186765+09:00 module Register
2018-03-10T14:30:56.35578+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:30:56.740705+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:30:57.106142+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:30:57.685191+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:30:58.046992+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:30:58.410273+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:30:58.778752+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:30:59.151538+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:30:59.62308+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:30:59.989419+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:31:00.433104+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:31:01.127217+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4091: Can't get int value of seq in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.53G8I9BV..vdm) at line 189:22
2018-03-10T14:31:01.499355+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:31:01.949279+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:31:02.321587+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:31:02.703721+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:31:03.078322+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:31:03.451439+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:31:03.86112+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:31:04.234589+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:31:04.729865+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:31:05.110498+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:31:05.475+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:31:06.40153+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:31:07.848218+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:31:09.042571+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:31:09.733615+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:31:10.288102+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:31:12.033968+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:31:12.732026+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:31:13.828181+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:31:14.773978+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:31:15.204398+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:31:15.6733+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:31:23.4147+09:00 module Register
2018-03-10T14:31:30.102052+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:31:30.507927+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:31:30.885604+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:31:31.344608+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:31:33.465642+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:31:33.842553+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:31:34.263142+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:31:34.643367+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:31:35.018745+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:31:35.383716+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:31:35.800972+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:31:36.5083+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4091: Can't get int value of seq in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.K78LVEZN..vdm) at line 219:22
2018-03-10T14:31:38.068593+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:31:38.435444+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:31:38.824819+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:31:39.220937+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:31:39.60819+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:31:39.981204+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:31:40.516049+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:31:40.960542+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:31:41.345432+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:31:41.72402+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:31:44.377826+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:31:44.75952+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:31:45.154434+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:31:46.78592+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:31:48.220454+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:31:48.794706+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:31:49.359641+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:31:51.39641+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:31:51.965376+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:31:52.492474+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:31:52.604965+09:00 module Register
2018-03-10T14:31:53.227818+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:31:58.843359+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:31:59.20057+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:31:59.555857+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:31:59.929874+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:32:00.30556+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:32:00.735274+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:32:01.118333+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:32:01.502869+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:32:01.882636+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:32:02.251225+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:32:02.781852+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:32:03.494492+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4091: Can't get int value of seq in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.6BFTM59H..vdm) at line 134:22
2018-03-10T14:32:03.870828+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:32:04.244517+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:32:04.60781+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:32:04.983104+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:32:05.347231+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:32:05.80448+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:32:06.172765+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:32:06.539532+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:32:06.929322+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:32:07.359774+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:32:07.806169+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:32:08.192075+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:32:08.561273+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:32:09.103465+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:32:09.689017+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:32:10.225626+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:32:10.774737+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:32:11.38866+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:32:11.93899+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:32:12.491777+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:32:12.974181+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:32:13.381728+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:33:47.73413+09:00 module Register
2018-03-10T14:33:54.892337+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:33:55.257898+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:33:57.206993+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:33:57.572221+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:33:58.045056+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:33:58.455158+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:33:58.832756+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:33:59.192586+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:33:59.56235+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:34:00.009597+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:34:00.409093+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:34:01.127358+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4061: No such key value in map: "test_nt" in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.DLGS3ZKG..vdm) at line 212:67
2018-03-10T14:34:01.497046+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:34:01.887087+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:34:02.260765+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:34:02.654234+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:34:03.148291+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:34:03.516463+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:34:03.89937+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:34:05.150905+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:34:05.528571+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:34:05.915316+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:34:06.289692+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:34:06.684559+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:34:07.052975+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:34:07.70204+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:34:08.31819+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:34:08.90582+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:34:10.950041+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:34:11.594925+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:34:14.827535+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:34:15.360619+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:34:15.813627+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:34:16.230564+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:36:46.97519+09:00 module Register
2018-03-10T14:36:53.539161+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:36:53.9107+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:36:54.305184+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:36:54.756101+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:36:55.152573+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:36:55.538432+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:36:55.914413+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:36:56.276185+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:36:56.961837+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:36:57.337421+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:36:57.738165+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:36:58.428572+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4061: No such key value in map: "test_nt" in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.7IAVO9RJ..vdm) at line 207:67
2018-03-10T14:36:59.729145+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:37:00.102682+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:37:00.473321+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:37:01.180064+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:37:01.550388+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:37:01.966478+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:37:02.367034+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:37:02.819257+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:37:03.186554+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:37:03.57702+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:37:05.433047+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:37:05.811687+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:37:06.187527+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:37:06.746259+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:37:07.466668+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:37:08.082309+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:37:08.650854+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:37:09.259881+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:37:09.838087+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:37:10.372065+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:37:10.921933+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:37:11.345411+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:38:13.620566+09:00 module Register
2018-03-10T14:38:37.839589+09:00 module Register
2018-03-10T14:38:43.929039+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:38:44.287573+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:38:44.672698+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:38:45.03347+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:38:45.401525+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:38:45.781251+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:38:46.148265+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:38:46.51684+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:38:47.002627+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:38:47.372881+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:38:47.820743+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:38:48.511903+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4061: No such key value in map: "test_nt" in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.CFB731D7..vdm) at line 202:67
2018-03-10T14:38:50.131923+09:00 InstructionTest`test_reset() -> OK
2018-03-10T14:38:50.525967+09:00 DataTest`test_qword2int() -> OK
2018-03-10T14:38:50.901565+09:00 DataTest`test_dword2int() -> OK
2018-03-10T14:38:51.263584+09:00 DataTest`test_byte2int() -> OK
2018-03-10T14:38:51.797028+09:00 DataTest`test_oid2int() -> OK
2018-03-10T14:38:53.058445+09:00 DataTest`test_oid2float() -> OK
2018-03-10T14:38:53.508656+09:00 DataTest`test_oid2char() -> OK
2018-03-10T14:38:53.895456+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T14:38:54.280642+09:00 BinaryTest`testMask() -> OK
2018-03-10T14:38:54.660151+09:00 BinaryTest`testXor() -> OK
2018-03-10T14:38:55.232895+09:00 BinaryTest`testRshift() -> OK
2018-03-10T14:38:55.602309+09:00 BinaryTest`testLshift() -> OK
2018-03-10T14:38:56.022128+09:00 MemoryTest`test_align() -> OK
2018-03-10T14:38:57.245558+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T14:38:57.827481+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T14:38:59.296943+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T14:38:59.86714+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T14:39:00.484975+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T14:39:01.135712+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T14:39:01.711372+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T14:39:02.148298+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T14:39:04.246324+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T14:39:49.63728+09:00 module Register
2018-03-10T14:39:55.924558+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:39:56.285257+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:39:56.724918+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:39:57.14521+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:39:57.521008+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:39:57.944534+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:39:58.30198+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:39:58.673799+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
[MANUALLY RUN ONE TEST MODULE]
2018-03-10T14:40:01.737121+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:40:02.103544+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:40:02.465517+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T14:40:02.839561+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T14:40:03.20448+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T14:40:03.653826+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T14:40:04.052982+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T14:40:04.444499+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T14:40:04.844116+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T14:40:05.231235+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T14:40:05.665731+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T14:40:06.385636+09:00 RegisterTest`testNamedRegisters() -> Error: Runtime: Error 4061: No such key value in map: "test_nt" in 'Register' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.7AMOLWWT..vdm) at line 202:67
2018-03-10T14:44:13.804427+09:00 module RegisterTest
2018-03-10T14:44:19.821991+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T14:44:20.187144+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T14:44:20.560672+09:00 RegisterTest`testBoxAndReadFloat() -> OK
